AvgElo	Median	AvgTotalHours	AvgLast2Weeks	?	HasFaceit	Name
2277  	2178  	5846         	20           	1	5/5     	Valtori (Valtori)
2167  	2240  	5891         	25           	2	6/6     	Mehiläinen Bee Rush (Mehiläinen)
2118  	1921  	3502         	5            	0	7/7     	Fastems #1 (Fastems Oy Ab)
2112  	2385  	5696         	25           	2	6/6     	The Switch (The Switch)
2108  	1740  	2709         	24           	2	6/6     	JIS-Automation (JIS-Automation)
2096  	2021  	3216         	4            	2	8/8     	Granlund Esports 1 (Granlund Oy)
2077  	1897  	3076         	19           	2	6/6     	Certego (Certego)
2069  	2103  	4454         	7            	1	5/5     	Power Mikkeli (Power Finland Oy)
2017  	1635  	2816         	23           	0	5/5     	Futur1ce (Futurice Oy)
1947  	1945  	4308         	7            	3	8/9     	Telia Inmics-Nebula (Telia Inmics-Nebula)
1936  	2107  	3023         	20           	1	8/9     	HiQ-CS (HiQ Finland)
1928  	1975  	3882         	29           	1	7/7     	INSTA eSports (Insta Advance Oy)
1900  	2021  	4701         	8            	5	7/9     	Aspocomp (Aspocomp Group Oyj)
1765  	1824  	4004         	21           	0	7/7     	SAKA (Saka Finland Oy)
1746  	1635  	2922         	11           	1	8/8     	Kela Gold (Kela)
1744  	1676  	2238         	10           	2	6/6     	Vincit Alfat (Vincit Oy)
1725  	1547  	3673         	2            	3	7/7     	Rambo II (Ramboll Finland Oy)
1717  	1629  	2853         	15           	3	7/7     	Digia Vengers (Digia Finland oy)
1691  	1679  	3427         	4            	1	7/8     	ESM KyyberMaget (Elisa Santa Monica Oy)
1679  	1567  	3258         	8            	2	6/6     	CGI Alumni360 (CGI Suomi Oy)
1651  	1671  	2521         	12           	1	5/5     	Elomatic I (Elomatic OY)
1628  	1294  	906          	8            	4	7/9     	Vincit SIGMA (Vincit)
1621  	1583  	4238         	17           	0	6/6     	Etteplan RED (Etteplan)
1620  	1510  	2998         	20           	1	5/5     	Solteq (Solteq Oyj)
1620  	1526  	2637         	25           	4	9/9     	CGI InBA (CGI Suomi Oy)
1609  	1614  	2133         	12           	2	8/8     	Pohjolan Puoliosujat (Nordic Semiconductor Finland Oy)
1587  	1486  	2062         	7            	1	5/5     	Netlight Consulting (Netlight Consulting Oy)
1566  	1498  	4401         	16           	2	6/6     	Elisa Hosujat (Elisa Oyj)
1564  	1329  	2038         	25           	0	7/7     	AlppilaCSGO (Alppilan Autohuolto Oy)
