AvgElo	Median	TotalGames	Median	Winrate	AvgTotalHours	AvgLast2Weeks	?	HasFaceit	Name
2277  	2178  	7999      	648   	52.6  	5850         	17           	1	5/5     	Valtori (Valtori)
2248  	2173  	7125      	257   	54.8  	4979         	38           	2	6/6     	VILPE FLOW (VILPE Oy)
2186  	1903  	10462     	1122  	52    	4314         	21           	2	8/8     	Neste E-sports (Neste Oyj)
2164  	2240  	11884     	1304  	52    	5736         	32           	3	6/6     	Mehiläinen Bee Rush (Mehiläinen)
2137  	2389  	6534      	1306  	51.2  	5796         	42           	2	6/6     	Eltel Tuulivoima (Eltel Networks Oy)
2118  	1921  	4430      	442   	52.4  	3503         	5            	0	7/7     	Fastems #1 (Fastems Oy Ab)
2108  	1740  	3156      	851   	57    	2710         	24           	2	6/6     	JIS-Automation (JIS-Automation)
2102  	2411  	8821      	3703  	51.4  	5700         	27           	2	6/6     	The Switch (The Switch)
2096  	2021  	7090      	1067  	51.6  	3216         	4            	2	8/8     	Granlund Esports 1 (Granlund Oy)
2077  	1897  	6795      	1155  	52    	3077         	19           	2	6/6     	Certego (Certego)
2069  	2103  	2544      	417   	52.2  	4456         	8            	1	5/5     	Power Mikkeli (Power Finland Oy)
2050  	1823  	4454      	666   	53.8  	3473         	14           	0	6/6     	Jimm's (Jimm's PC-Store Oy)
2021  	1635  	4274      	481   	53.2  	2818         	23           	0	5/5     	Futur1ce (Futurice Oy)
1942  	1945  	5753      	713   	40.8  	4308         	6            	3	8/9     	Telia Inmics-Nebula (Telia Inmics-Nebula)
1931  	2108  	2188      	1075  	53.4  	3026         	18           	0	8/9     	HiQ-CS (HiQ Finland)
1929  	1975  	3880      	640   	53    	3884         	27           	1	7/7     	INSTA eSports (Insta Advance Oy)
1894  	2021  	6575      	375   	56.8  	4702         	7            	5	7/9     	Aspocomp (Aspocomp Group Oyj)
1847  	1854  	5826      	2588  	52    	6516         	32           	3	7/7     	Securitas #1 (Securitas Oy)
1822  	1384  	8480      	294   	55.6  	4725         	6            	0	7/7     	LähiTapiola 3.4.3 (LähiTapiola Pääkaupunkiseutu)
1821  	1894  	3267      	733   	52.4  	3388         	10           	3	7/7     	Abloy (Abloy Oy)
1810  	1759  	7456      	1931  	51    	2977         	9            	1	8/8     	Wolt Task Force (Wolt Enterprises Oy)
1765  	1848  	8664      	1060  	51.6  	4004         	19           	0	7/7     	SAKA (Saka Finland Oy)
1756  	1635  	4421      	295   	52.4  	2923         	11           	0	8/8     	Kela Gold (Kela)
1725  	1547  	3340      	189   	53.6  	3674         	2            	3	7/7     	Rambo II (Ramboll Finland Oy)
1724  	1676  	1376      	261   	53.2  	2239         	9            	2	6/6     	Vincit Alfat (Vincit Oy)
1723  	1564  	2118      	421   	54.4  	4049         	11           	0	9/9     	Akkupojat (Oem Finland Oy)
1717  	1629  	1449      	150   	52.6  	2854         	15           	3	7/7     	Digia Vengers (Digia Finland oy)
1715  	1404  	2230      	158   	63.8  	1992         	1            	2	6/7     	Accenture Security (Accenture Oy)
1695  	1703  	3078      	171   	53.2  	3429         	6            	1	7/8     	ESM KyyberMaget (Elisa Santa Monica Oy)
1679  	1567  	2788      	267   	51.4  	3259         	9            	2	6/6     	CGI Alumni360 (CGI Suomi Oy)
1676  	1725  	3317      	1335  	54.6  	3232         	11           	1	7/8     	Fiarone (Fiarone Oy)
1667  	1601  	909       	220   	57.4  	1446         	4            	1	7/9     	Efecte Gaming Club (​Efecte Finland Oy)
1651  	1671  	2838      	590   	52.6  	2850         	14           	2	5/5     	Elomatic I (Elomatic OY)
1632  	1294  	2325      	9     	46.8  	1755         	11           	3	7/9     	Vincit SIGMA (Vincit)
1621  	1583  	4665      	1401  	52    	4239         	15           	0	6/6     	Etteplan RED (Etteplan)
1620  	1510  	2514      	1210  	56.6  	3000         	20           	1	5/5     	Solteq (Solteq Oyj)
1620  	1526  	4236      	257   	53.2  	2499         	16           	3	9/9     	CGI InBA (CGI Suomi Oy)
1609  	1614  	6021      	1312  	63.4  	2134         	10           	2	8/8     	Pohjolan Puoliosujat (Nordic Semiconductor Finland Oy)
1606  	1595  	1452      	183   	54.2  	2576         	16           	0	9/9     	Sitowise (Sitowise Oy)
1597  	1495  	4300      	2013  	51.8  	3582         	8            	2	5/5     	LCP (Lc Partners Oy)
1594  	1512.5	5641      	954   	53.2  	2884         	4            	2	4/5     	Aavat (Insinööritoimisto Aavat Oy)
1593  	1472.5	2827      	357   	47.2  	2252         	8            	1	4/5     	Trimedian Nuijapäät (Trimedia Oy)
1587  	1486  	2371      	422   	53    	2063         	7            	1	5/5     	Netlight Consulting (Netlight Consulting Oy)
1578  	1353  	3451      	364   	55.2  	2041         	24           	0	7/7     	AlppilaCSGO (Alppilan Autohuolto Oy)
1567  	1643  	4557      	1448  	53.2  	3465         	12           	1	8/8     	Veikkaus Esports 1 (Veikkaus Oy)
1548  	1567  	6390      	834   	51.2  	3773         	28           	0	6/6     	Nondest (Nondest Oy)
1542  	1507  	3368      	834   	52    	3250         	8            	0	8/8     	Finnair MAX THRUST (Finnair)
